Symbol,Date,Adjusted_price
MMM,2020-10-30,161.56
MMM,2020-09-30,161.78
MMM,2020-07-31,150.6
MMM,2020-04-30,150.56
MMM,2019-10-31,160.66
MMM,2017-10-31,211.99
MMM,2015-10-30,137.56
ABT,2020-10-30,106.16
ABT,2020-09-30,109.55
ABT,2020-07-31,101.31
ABT,2020-04-30,92.34
ABT,2019-10-31,83.13
ABT,2017-10-31,52.09
ABT,2015-10-30,41.03
ABBV,2020-10-30,85.95
ABBV,2020-09-30,87.27
ABBV,2020-07-31,94.57
ABBV,2020-04-30,80.92
ABBV,2019-10-31,76.13
ABBV,2017-10-31,77.54
ABBV,2015-10-30,47.52
ABMD,2020-10-30,254.4
ABMD,2020-09-30,279.83
ABMD,2020-07-31,302.94
ABMD,2020-04-30,193.16
ABMD,2019-10-31,209.66
ABMD,2017-10-31,194.85
ABMD,2015-10-30,74.4
ACN,2020-10-30,219.08
ACN,2020-09-30,227.36
ACN,2020-07-31,226.14
ACN,2020-04-30,185.63
ACN,2019-10-31,184.31
ACN,2017-10-31,137.27
ACN,2015-10-30,99.31
ATVI,2020-10-30,76.49
ATVI,2020-09-30,81.76
ATVI,2020-07-31,83.46
ATVI,2020-04-30,64.37
ATVI,2019-10-31,56.22
ATVI,2017-10-31,64.85
ATVI,2015-10-30,33.94
ADBE,2020-10-30,451.57
ADBE,2020-09-30,495.33
ADBE,2020-07-31,448.76
ADBE,2020-04-30,357.18
ADBE,2019-10-31,280.71
ADBE,2017-10-31,176.91
ADBE,2015-10-30,89.55
AMD,2020-10-30,76.04
AMD,2020-09-30,82.81
AMD,2020-07-31,78.2
AMD,2020-04-30,52.91
AMD,2019-10-31,34.27
AMD,2017-10-31,11.1
AMD,2015-10-30,2.14
AAP,2020-10-30,148.75
AAP,2020-09-30,155.04
AAP,2020-07-31,151.4
AAP,2020-04-30,121.5
AAP,2019-10-31,162.75
AAP,2017-10-31,81.6
AAP,2015-10-30,197.39
AES,2020-10-30,19.7
AES,2020-09-30,18.16
AES,2020-07-31,15.27
AES,2020-04-30,13.16
AES,2019-10-31,16.64
AES,2017-10-31,9.54
AES,2015-10-30,9.04
AFL,2020-10-30,34.29
AFL,2020-09-30,36.71
AFL,2020-07-31,35.65
AFL,2020-04-30,37.03
AFL,2019-10-31,52.32
AFL,2017-10-31,39.5
AFL,2015-10-30,28.59
A,2020-10-30,103.11
A,2020-09-30,101.77
A,2020-07-31,97.12
A,2020-04-30,77.12
A,2019-10-31,75.86
A,2017-10-31,66.92
A,2015-10-30,36.39
APD,2020-10-30,279.0
APD,2020-09-30,300.84
APD,2020-07-31,288.17
APD,2020-04-30,225.52
APD,2019-10-31,210.78
APD,2017-10-31,149.91
APD,2015-10-30,113.36
AKAM,2020-10-30,96.07
AKAM,2020-09-30,111.65
AKAM,2020-07-31,113.56
AKAM,2020-04-30,98.69
AKAM,2019-10-31,87.36
AKAM,2017-10-31,52.77
AKAM,2015-10-30,61.43
ALK,2020-10-30,38.27
ALK,2020-09-30,37.0
ALK,2020-07-31,34.78
ALK,2020-04-30,32.85
ALK,2019-10-31,69.39
ALK,2017-10-31,63.32
ALK,2015-10-30,70.8
ALB,2020-10-30,94.14
ALB,2020-09-30,90.17
ALB,2020-07-31,82.96
ALB,2020-04-30,61.52
ALB,2019-10-31,60.16
ALB,2017-10-31,135.25
ALB,2015-10-30,49.83
ARE,2020-10-30,153.04
ARE,2020-09-30,161.6
ARE,2020-07-31,178.14
ARE,2020-04-30,156.59
ARE,2019-10-31,156.1
ARE,2017-10-31,114.98
ARE,2015-10-30,78.21
ALXN,2020-10-30,116.29
ALXN,2020-09-30,115.57
ALXN,2020-07-31,103.51
ALXN,2020-04-30,108.54
ALXN,2019-10-31,106.45
ALXN,2017-10-31,120.86
ALXN,2015-10-30,177.76
ALGN,2020-10-30,430.34
ALGN,2020-09-30,330.63
ALGN,2020-07-31,296.76
ALGN,2020-04-30,217.0
ALGN,2019-10-31,254.81
ALGN,2017-10-31,241.37
ALGN,2015-10-30,66.11
ALLE,2020-10-30,99.48
ALLE,2020-09-30,99.9
ALLE,2020-07-31,100.13
ALLE,2020-04-30,100.9
ALLE,2019-10-31,115.87
ALLE,2017-10-31,81.62
ALLE,2015-10-30,62.83
LNT,2020-10-30,55.83
LNT,2020-09-30,51.81
LNT,2020-07-31,54.01
LNT,2020-04-30,48.36
LNT,2019-10-31,52.39
LNT,2017-10-31,39.95
LNT,2015-10-30,25.54
ALL,2020-10-30,89.64
ALL,2020-09-30,95.08
ALL,2020-07-31,94.78
ALL,2020-04-30,101.58
ALL,2019-10-31,105.28
ALL,2017-10-31,89.32
ALL,2015-10-30,56.73
GOOGL,2020-10-30,1632.27
GOOGL,2020-09-30,1480.26
GOOGL,2020-07-31,1502.83
GOOGL,2020-04-30,1360.17
GOOGL,2019-10-31,1271.39
GOOGL,2017-10-31,1043.37
GOOGL,2015-10-30,744.76
GOOG,2020-10-30,1637.22
GOOG,2020-09-30,1484.3
GOOG,2020-07-31,1497.79
GOOG,2020-04-30,1362.15
GOOG,2019-10-31,1272.71
GOOG,2017-10-31,1026.81
GOOG,2015-10-30,717.92
MO,2020-10-30,36.44
MO,2020-09-30,39.03
MO,2020-07-31,40.74
MO,2020-04-30,38.03
MO,2019-10-31,41.55
MO,2017-10-31,53.37
MO,2015-10-30,46.73
AMZN,2020-10-30,3066.51
AMZN,2020-09-30,3180.22
AMZN,2020-07-31,3196.33
AMZN,2020-04-30,2498.74
AMZN,2019-10-31,1794.43
AMZN,2017-10-31,1116.33
